Tijd,Activiteit,Vormgeven,Programmeren,Muziek,Sporten,Overig
0,40,40,50,30,10,30
1,10,30,30,30,10,80
2,10,20,20,20,10,80
3,10,10,10,10,10,80
4,10,10,10,10,10,80
5,10,10,10,10,10,80
6,10,10,10,10,10,80
7,30,50,60,20,10,80
8,30,80,70,20,10,60
9,50,50,50,20,10,40
10,60,80,80,20,10,30
11,70,60,60,20,10,30
12,60,60,60,20,10,60
13,60,80,80,20,10,20
14,70,80,80,20,10,30
15,80,80,90,20,10,40
16,80,80,90,20,10,40
17,60,80,90,20,10,40
18,50,40,10,20,10,60
19,40,50,50,80,10,70
20,60,70,80,80,40,20
21,100,70,80,70,90,20
22,90,70,80,70,80,20
23,80,70,70,40,80,10
